TIME,ASKS,BIDS,LAST_PRICE,VOLUME_24H
1694853966,"0.049878","0.049878",26524.97146662,4427.57814600
1694854023,"0.049878","0.049878",26526.45982954,4427.57814600
1694854084,"0.010603","0.010603",26523.25978817,4103.43907300
1694854143,"0.010603","0.010603",26523.12677147,4103.43907300
1694854209,"0.04827","0.04827",26522.03998880,4118.39039000
1694854263,"0.04827","0.04827",26543.53743271,4118.39039000
1694854324,"0.037665","0.037665",26537.42579844,572.05645443
1694854383,"0.037665","0.037665",26530.98924322,572.05645443
1694854444,"0.010067","0.010067",26521.15910210,4425.93785500
1694854505,"0.010067","0.010067",26507.49894363,4425.93785500
1694854565,"0.049969","0.049969",26507.80215711,4426.06553000
1694854623,"0.049969","0.049969",26509.53988858,4426.06553000
1694854686,"0.049969","0.049969",26512.19393676,4426.06553000
1694854744,"0.049969","0.049969",26512.38962700,4426.06553000
1694854819,"0.049969","0.049969",26513.90549635,4426.06553000
1694854863,"0.049969","0.049969",26508.83143687,4418.82900000
1694854924,"0.049969","0.049969",26509.20028990,4418.82900000
1694854984,"0.049969","0.049969",26511.80333735,4418.82900000
1694855044,"0.049969","0.049969",26516.10097589,4418.82900000
1694855106,"0.050024","0.050024",26521.29323847,4409.58956000
1694855164,"0.050024","0.050024",26524.59839204,4409.58956000
1694855223,"0.050016","0.050016",26529.21602034,4409.44177300
1694855285,"0.050016","0.050016",26529.89684217,4409.44177300
1694855343,"0.044366","0.044366",26525.25385523,4075.94262800
1694855408,"0.044366","0.044366",26524.70129029,4075.94262800
1694855463,"0.010377","0.010377",26525.95961876,2293.96375992
1694855525,"0.010377","0.010377",26525.67606324,2293.96375992
1694855583,"0.010377","0.010377",26525.65436285,2293.96375992
1694855644,"0.010377","0.010377",26524.05100799,2293.96375992
1694855708,"0.010377","0.010377",26524.40430957,2292.94719664
1694855764,"0.010377","0.010377",26523.74053913,2292.94719664
1694855823,"0.010377","0.010377",26520.71330589,2293.02676290
1694855885,"0.010377","0.010377",26516.83411566,2293.02676290
1694855943,"0.010377","0.010377",26519.32667921,2293.02676290
1694856008,"0.049959","0.049959",26521.62357552,4408.38549400
1694856063,"0.049959","0.049959",26521.15483353,4408.38549400
1694856124,"0.018857","0.018857",26519.43232816,146.72417310
1694856183,"0.018857","0.018857",26531.45460516,146.72417310
1694856244,"0.050016","0.050016",26535.25481661,4408.71707400
1694856306,"0.050016","0.050016",26530.14712966,4408.71707400
1694856365,"0.050019","0.050019",26528.47694724,4408.34046100
1694856423,"0.050019","0.050019",26527.87553261,4408.34046100
1694856485,"0.050019","0.050019",26530.91099175,4408.34046100
1694856543,"0.050019","0.050019",26533.97519638,4408.34046100
1694856616,"0.049999","0.049999",26533.75229572,4408.48637800
1694856663,"0.049999","0.049999",26533.92097021,4408.48637800
1694856724,"0.010038","0.010038",26534.85168218,26238.22494000
1694856783,"0.010038","0.010038",26534.67881044,26238.22494000
1694856844,"0.010038","0.010038",26535.94687071,26230.49863000
1694856906,"0.010038","0.010038",26537.12369901,26230.49863000
1694856965,"0.010038","0.010038",26538.88897001,7800.39328120
1694857023,"0.010038","0.010038",26547.42961599,7800.39328120
1694857084,"0.010038","0.010038",26561.57282877,7800.39328120
1694857143,"0.049955","0.049955",26561.87054141,4407.27096100
1694857208,"0.049955","0.049955",26575.37703154,4407.27096100
1694857263,"0.050012","0.050012",26577.52079734,4395.93162000
1694857324,"0.050012","0.050012",26575.49165278,4395.93162000
1694857383,"0.050012","0.050012",26574.54638163,4395.93162000
1694857444,"0.050012","0.050012",26569.27613594,4395.93162000
1694857508,"0.011016","0.011016",26568.50823755,14225.16686400
1694857565,"0.011016","0.011016",26557.77694793,14225.16686400
1694857623,"0.04995","0.04995",26558.38600857,4372.25900500
